Rank,Sourceid,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2020),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories
1334,21101000293,"Mekhatronika, Avtomatizatsiya, Upravlenie",journal,"16846427, 26191253","0,188",Q4,2,78,89,1657,27,89,0.3,21.24,Russian Federation,Eastern Europe,New Technologies Publishing House,2019-2020,Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Software (Q4)
1335,21100242828,"Revista de Direito, Estado e Telecomunicacoes",journal,"19849729, 19848161","0,188",Q4,3,20,47,693,11,47,0.26,34.65,Brazil,Latin America,Universidade de Brasilia,"2009, 2013-2020",Electrical and Electronic Engineering (Q3); Law (Q3); Computer Networks and Communications (Q4)
1336,14100154713,International Journal of Grid and Utility Computing,journal,"1741847X, 17418488","0,187",Q4,20,73,131,2325,174,127,1.42,31.85,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2005, 2009, 2011-2014, 2020",Management Information Systems (Q3); Applied Mathematics (Q4); Computer Science Applications (Q4)
1337,21100199790,International Journal of Intelligent Engineering and Systems,journal,"21853118, 2185310X","0,187",Q3,15,234,528,6506,594,528,1.17,27.8,Japan,Asiatic Region,Intelligent Networks and Systems Society,2008-2020,Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3)
1338,21100788860,International Journal of Mechanical Engineering and Robotics Research,journal,22780149,"0,187",Q4,9,243,355,4299,309,355,0.88,17.69,India,Asiatic Region,,2016-2020,Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Mechanical Engineering (Q4)
1339,21100200660,International Journal of Web Information Systems,journal,"17440084, 17440092","0,186",Q4,18,24,91,993,106,91,1.15,41.38,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,2005-2020,Computer Networks and Communications (Q4); Information Systems (Q4)
1340,21100255068,Masaryk University Journal of Law and Technology,journal,"18025951, 18025943","0,186",Q4,4,13,40,579,20,39,0.58,44.54,Czech Republic,Eastern Europe,"Faculty of Law, Masaryk University",2013-2020,Law (Q3); Library and Information Sciences (Q3); Computer Science Applications (Q4)
1341,21100228550,Complex Systems,journal,8912513,"0,185",Q3,8,19,59,911,38,59,0.64,47.95,United States,Northern America,"Complex Systems Publications, inc.",2012-2020,Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q4)
1342,19900191878,Infocommunications Journal,journal,"20612125, 20612079","0,185",Q3,7,28,65,769,44,61,0.82,27.46,Hungary,Eastern Europe,Scientific Association for Infocommunications,2011-2020,Computer Science (miscellaneous) (Q3); Electrical and Electronic Engineering (Q3)
1343,21100857397,International Journal of E-Services and Mobile Applications,journal,"1941627X, 19416288","0,185",Q4,7,7,54,484,52,54,0.95,69.14,United States,Northern America,IGI Global Publishing,2017-2020,Computer Networks and Communications (Q4); Computer Science Applications (Q4); Management Information Systems (Q4); Marketing (Q4); Strategy and Management (Q4)
1344,8300153137,"International Journal of Metadata, Semantics and Ontologies",journal,"1744263X, 17442621","0,185",Q4,20,21,43,913,39,43,0.83,43.48,United Kingdom,Western Europe,Inderscience Enterprises Ltd,"2006-2014, 2020",Library and Information Sciences (Q3); Computer Science Applications (Q4); E-learning (Q4); Information Systems (Q4)
1345,20980,Journal of Mechanical Engineering Research and Developments,journal,10241752,"0,185",Q4,14,292,325,6680,335,325,1.26,22.88,Bangladesh,Asiatic Region,,"1995, 1997, 2001, 2014-2020",Computational Mechanics (Q4); Computer Science Applications (Q4); Mechanical Engineering (Q4); Physics and Astronomy (miscellaneous) (Q4)
1346,21100820054,International Journal of Computing,journal,"17276209, 23125381","0,184",Q3,11,63,89,1822,126,89,1.22,28.92,Ukraine,Eastern Europe,Research Institute of Intelligent Computer Systems,2016-2020,Computer Science (miscellaneous) (Q3); Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Information Systems (Q4); Software (Q4)
1347,21100791249,Pakistan Journal of Information Management and Libraries,journal,24097462,"0,184",Q4,7,6,17,273,11,15,0.45,45.5,Pakistan,Asiatic Region,"Department of Information Management, University of the Punjab",2014-2019,Library and Information Sciences (Q3); Computer Science Applications (Q4)
1348,21100242201,Romanian Journal of Information Science and Technology,journal,14538245,"0,184",Q3,17,42,79,1165,62,77,0.84,27.74,Romania,Eastern Europe,Editura Academiei Romane,2008-2020,Computer Science (miscellaneous) (Q3)
1349,18300156736,Acta Scientiarum - Technology,journal,"18078664, 18062563","0,183",Q3,17,74,195,2395,134,195,0.61,32.36,Brazil,Latin America,Universidade Estadual de Maringa,2008-2020,Computer Science (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Chemistry (miscellaneous) (Q4); Earth and Planetary Sciences (miscellaneous) (Q4); Mathematics (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)
1350,21100887424,Electronic Journal of Knowledge Management,journal,14794411,"0,183",Q4,5,18,25,1073,24,24,0.96,59.61,United Kingdom,Western Europe,Academic Conferences and Publishing International,2018-2019,Computer Networks and Communications (Q4); Computer Science Applications (Q4); Management Information Systems (Q4); Management of Technology and Innovation (Q4)
1351,5800179613,International Journal of Ad Hoc and Ubiquitous Computing,journal,"17438225, 17438233","0,183",Q4,24,56,192,2103,138,190,0.72,37.55,United Kingdom,Western Europe,Inderscience Enterprises Ltd,"2005-2014, 2020",Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Software (Q4)
1352,21100890645,International Journal of Advances in Intelligent Informatics,journal,"25483161, 24426571","0,183",Q4,9,27,68,999,88,68,1.42,37,Indonesia,Asiatic Region,Universitas Ahmad Dahlan,2015-2020,Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4)
1353,21100266730,International Journal of Information Systems in the Service Sector,journal,"19355688, 19355696","0,183",Q4,12,18,58,708,40,58,0.82,39.33,United States,Northern America,IGI Global Publishing,2009-2020,Information Systems (Q4); Information Systems and Management (Q4); Management Information Systems (Q4); Management Science and Operations Research (Q4); Strategy and Management (Q4)
1354,100147332,"International Journal of Parallel, Emergent and Distributed Systems",journal,"17445779, 17445760","0,183",Q4,21,62,160,1752,182,139,1.51,28.26,United Kingdom,Western Europe,Taylor and Francis Ltd.,2005-2020,Computer Networks and Communications (Q4); Software (Q4)
1355,21100866208,IEIE Transactions on Smart Processing and Computing,journal,22875255,"0,182",Q4,5,48,120,1076,100,120,0.83,22.42,South Korea,Asiatic Region,Institute of Electronics and Information Engineers,2018-2020,Electrical and Electronic Engineering (Q4); Signal Processing (Q4)
1356,25550,Information Display,journal,3620972,"0,182",Q4,20,57,141,230,47,84,0.27,4.04,United States,Northern America,Wiley-Blackwell,"1975-1977, 1986-1989, 1993-2020",Electrical and Electronic Engineering (Q4); Hardware and Architecture (Q4)
1357,19900193948,International Journal of Vehicular Technology,journal,"16875702, 16875710","0,182",Q4,18,0,2,0,3,2,0,0,Egypt,Africa/Middle East,Hindawi Limited,2011-2017,Automotive Engineering (Q4); Computer Science Applications (Q4); Mechanical Engineering (Q4)
1358,4700153605,Tongxin Xuebao/Journal on Communications,journal,1000436X,"0,182",Q4,27,239,700,6459,578,700,0.86,27.03,China,Asiatic Region,Posts &amp;Telecom Press,2005-2020,Computer Networks and Communications (Q4); Information Systems (Q4); Signal Processing (Q4)
1359,21100448565,Zhongguo Kexue Jishu Kexue/Scientia Sinica Technologica,journal,"16747259, 2095946X","0,182",Q4,10,125,402,5380,393,402,1.12,43.04,China,Asiatic Region,Chinese Academy of Sciences,2016-2017,Computer Networks and Communications (Q4); Control and Systems Engineering (Q4)
1360,21100199780,Multiagent and Grid Systems,journal,"15741702, 18759076","0,181",Q3,19,21,46,943,38,46,0.96,44.9,United States,Northern America,IOS Press,2005-2020,Computer Science (miscellaneous) (Q3)
1361,21100199731,Scandinavian Journal of Information Systems,journal,"19010990, 09050167","0,181",Q4,11,15,35,940,18,19,0.19,62.67,Denmark,Western Europe,"Department of Mathematics and Computer Science, Institute of Electronic Systems, University of Aalborg",2011-2020,Information Systems (Q4)
1362,21100812152,International Journal of Networked and Distributed Computing,journal,"22117938, 22117946","0,180",Q4,7,12,64,439,54,64,1.13,36.58,Netherlands,Western Europe,Atlantis Press,2013-2020,Computer Networks and Communications (Q4); Computer Science Applications (Q4)
1363,19500157056,International Journal of System of Systems Engineering,journal,"1748068X, 17480671","0,180",Q4,17,19,38,909,21,38,0.57,47.84,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2008-2014, 2020",Hardware and Architecture (Q4); Information Systems (Q4)
1364,19829,Operating Systems Review (ACM),journal,1635980,"0,180",Q4,104,7,36,371,58,33,2.23,53,United States,Northern America,Association for Computing Machinery (ACM),"1980-1991, 1993, 1996-2010, 2013-2017, 2019",Computer Networks and Communications (Q4); Hardware and Architecture (Q4); Information Systems (Q4)
1365,21100843319,Archives of Design Research,journal,"22882987, 12268046","0,179",Q3,4,55,154,1587,32,154,0.2,28.85,South Korea,Asiatic Region,Korean Society of Design Science,2017-2020,Visual Arts and Performing Arts (Q1); Architecture (Q2); Computer Graphics and Computer-Aided Design (Q3)
1366,144891,Digital Creativity,journal,"17443806, 14626268","0,179",Q4,21,24,67,911,40,65,0.57,37.96,United Kingdom,Western Europe,Taylor and Francis Ltd.,2005-2020,Arts and Humanities (miscellaneous) (Q3); Computational Theory and Mathematics (Q4); Computer Graphics and Computer-Aided Design (Q4); Human-Computer Interaction (Q4)
1367,21100897522,i-com,journal,"21966826, 1618162X","0,179",Q4,4,19,40,850,37,37,0.93,44.74,Germany,Western Europe,Walter de Gruyter GmbH,2018-2020,"Business, Management and Accounting (miscellaneous) (Q3); Communication (Q3); Computer Networks and Communications (Q4); Human-Computer Interaction (Q4); Information Systems (Q4); Social Psychology (Q4)"
1368,4700151613,Information Visualization,journal,"14738724, 14738716","0,179",Q4,48,17,65,1082,108,63,1.65,63.65,United States,Northern America,SAGE Publications Inc.,"1997, 2002-2020",Computer Vision and Pattern Recognition (Q4)
1369,18700156724,International Journal of Computing Science and Mathematics,journal,"17525063, 17525055","0,179",Q4,17,60,159,1273,204,159,1.62,21.22,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2007-2010, 2012-2014, 2020",Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)
1370,145567,Pragmatics and Cognition,journal,"15699943, 09290907","0,179",Q3,33,0,54,0,24,51,0.47,0,Netherlands,Western Europe,John Benjamins Publishing Company,"1993-2014, 2016-2019",Language and Linguistics (Q2); Linguistics and Language (Q2); Computer Science (miscellaneous) (Q3); History and Philosophy of Science (Q3); Behavioral Neuroscience (Q4)
1371,21100944646,SiSal Journal,journal,21853762,"0,178",Q4,2,22,25,444,7,24,0.28,20.18,Japan,Asiatic Region,Kanda University of International Studies,2019,Language and Linguistics (Q2); Linguistics and Language (Q2); Computer Science Applications (Q4); Education (Q4)
1372,21100823283,International Journal of Asian Business and Information Management,journal,"19479638, 19479646","0,177",Q4,3,27,48,1547,32,48,0.85,57.3,United States,Northern America,IGI Global Publishing,2017-2020,Cultural Studies (Q2); Business and International Management (Q4); Computer Science Applications (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)
1373,12600154734,International Journal of Electronic Security and Digital Forensics,journal,"17519128, 1751911X","0,177",Q4,13,24,74,721,65,73,0.88,30.04,United Kingdom,Western Europe,Inderscience Enterprises Ltd.,"2007-2010, 2012-2014, 2020","Law (Q3); Computer Networks and Communications (Q4); Safety, Risk, Reliability and Quality (Q4)"
1374,21100823281,International Journal of Software Innovation,journal,"21667179, 21667160","0,177",Q4,5,26,73,583,62,73,0.9,22.42,United States,Northern America,IGI Global Publishing,2017-2020,Artificial Intelligence (Q4); Computer Graphics and Computer-Aided Design (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Software (Q4)
1375,21100199333,"Groups, Complexity, Cryptology",journal,"18696104, 18671144","0,176",Q4,12,1,34,18,35,34,0.62,18,Germany,Western Europe,Walter de Gruyter GmbH,2009-2020,Applied Mathematics (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4)
1376,22798,Qinghua Daxue Xuebao/Journal of Tsinghua University,journal,10000054,"0,175",Q4,33,128,518,3001,273,518,0.63,23.45,China,Asiatic Region,Tsinghua University Press,1993-2020,Engineering (miscellaneous) (Q3); Applied Mathematics (Q4); Computer Science Applications (Q4)
1377,20000195009,International Journal of Electronics and Telecommunications,journal,"20818491, 23001933","0,174",Q4,18,109,229,2177,191,229,0.93,19.97,Poland,Eastern Europe,"Polish Academy of Sciences, Committee of Electronics and Telecommunications",2010-2020,Computer Networks and Communications (Q4); Electrical and Electronic Engineering (Q4)
1378,21100211105,Internetworking Indonesia Journal,journal,19429703,"0,174",Q4,8,5,37,89,31,36,0.69,17.8,United States,Northern America,Internetworking Indonesia,2009-2019,Computer Science (miscellaneous) (Q4)
1379,19700188314,Pertanika Journal of Science and Technology,journal,1287680,"0,174",Q4,15,121,686,3828,442,685,0.79,31.64,Malaysia,Asiatic Region,Universiti Putra Malaysia,2010-2020,Agricultural and Biological Sciences (miscellaneous) (Q4); Chemical Engineering (miscellaneous) (Q4); Computer Science (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4)
1380,17700155820,WSEAS Transactions on Systems and Control,journal,"22242856, 19918763","0,174",Q4,16,79,170,1986,121,170,0.87,25.14,Greece,Western Europe,World Scientific and Engineering Academy and Society,2008-2020,Artificial Intelligence (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Mathematics (miscellaneous) (Q4)
1381,13608,Xitong Fangzhen Xuebao / Journal of System Simulation,journal,1004731X,"0,174",Q4,28,269,1300,4964,423,1300,0.33,18.45,China,Asiatic Region,Acta Simulata Systematica Sinica,"1998-1999, 2001-2020",Aerospace Engineering (Q4); Computer Science Applications (Q4); Modeling and Simulation (Q4)
1382,21100939572,Applied Science and Engineering Progress,journal,"26730421, 26729156","0,173",Q4,4,44,36,1083,34,32,0.94,24.61,Thailand,Asiatic Region,King Mongkut's University of Technology North Bangkok (KMUTNB),2019-2020,Engineering (miscellaneous) (Q3); Chemical Engineering (miscellaneous) (Q4); Computer Science (miscellaneous) (Q4)
1383,19700186890,Journal of Electrical Systems,journal,11125209,"0,173",Q4,16,40,155,1071,132,155,0.87,26.78,France,Western Europe,Engineering and Scientific Research Groups (ESR Groups),2009-2020,Computer Science (miscellaneous) (Q4); Electrical and Electronic Engineering (Q4)
